nohup: ignoring input
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:21][获取index单例成功...][searcher.hpp 29]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:32][当前已经建立的索引文档数目: 2100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:32][当前已经建立的索引文档数目: 2150][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:32][当前已经建立的索引文档数目: 2200][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:32][当前已经建立的索引文档数目: 2250][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2300][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2350][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2400][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2450][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2500][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2550][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2600][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2650][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2700][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:33][当前已经建立的索引文档数目: 2750][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:34][当前已经建立的索引文档数目: 2800][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:34][当前已经建立的索引文档数目: 2850][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:35][当前已经建立的索引文档数目: 2900][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:35][当前已经建立的索引文档数目: 2950][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:35][当前已经建立的索引文档数目: 3000][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:35][当前已经建立的索引文档数目: 3050][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:35][当前已经建立的索引文档数目: 3100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3150][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3200][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3250][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3300][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3350][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3400][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:36][当前已经建立的索引文档数目: 3450][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:37][当前已经建立的索引文档数目: 3500][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:37][当前已经建立的索引文档数目: 3550][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:37][当前已经建立的索引文档数目: 3600][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:37][当前已经建立的索引文档数目: 3650][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:37][当前已经建立的索引文档数目: 3700][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:37][当前已经建立的索引文档数目: 3750][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 3800][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 3850][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 3900][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 3950][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 4000][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 4050][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 4100][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:38][当前已经建立的索引文档数目: 4150][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4200][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4250][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4300][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4350][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4400][index.hpp 129]
[NORMAL][日期:2022-7-24 第204天 星期1时间:22:26:39][当前已经建立的索引文档数目: 4450][index.hpp 129]
